Date,cases
2020-10-15,7981926
2020-10-16,8052195
2020-10-17,8107066
2020-10-18,8159301
2020-10-19,8226793
2020-10-20,8289041
2020-10-21,8349207
2020-10-22,8428823
2020-10-23,8510406
2020-10-24,8588870
2020-10-25,8650160
2020-10-26,8714344
2020-10-27,8791638
2020-10-28,8877664
2020-10-29,8968808
2020-10-30,9068554
2020-10-31,9156179
2020-11-01,9234168
2020-11-02,9315738
2020-11-03,9440498
2020-11-04,9540303
2020-11-05,9668111
2020-11-06,9795269
2020-11-07,9922817
2020-11-08,10042430
2020-11-09,10159447
2020-11-10,10295747
2020-11-11,10442682
2020-11-12,10601769
2020-11-13,10780489
2020-11-14,10945929
2020-11-15,11085476
2020-11-16,11238497
2020-11-17,11402754
2020-11-18,11574500
2020-11-19,11766704
2020-11-20,11968222
2020-11-21,12148438
2020-11-22,12295409
2020-11-23,12476644
2020-11-24,12649961
2020-11-25,12830293
2020-11-26,12947727
2020-11-27,13162358
2020-11-28,13330570
2020-11-29,13470988
2020-11-30,13626324
2020-12-01,13823237
2020-12-02,14018737
2020-12-03,14239140
2020-12-04,14474790
2020-12-05,14696867
2020-12-06,14876105
2020-12-07,15071633
2020-12-08,15298176
2020-12-09,15516357
2020-12-10,15753334
2020-12-11,15992515
2020-12-12,16217147
2020-12-13,16408811
2020-12-14,16618415
2020-12-15,16845137
2020-12-16,17079807
2020-12-17,17319964
2020-12-18,17568281
2020-12-19,17774123
2020-12-20,17961470
2020-12-21,18158290
2020-12-22,18364184
2020-12-23,18585551
2020-12-24,18798442
2020-12-25,18925760
2020-12-26,19143220
2020-12-27,19279174
2020-12-28,19452596
2020-12-29,19658440
2020-12-30,19876806
2020-12-31,20191989
2021-01-01,20371033
2021-01-02,20643258
2021-01-03,20846608
2021-01-04,21032204
2021-01-05,21264999
2021-01-06,21524822
2021-01-07,21811151
2021-01-08,22115322
2021-01-09,22380124
2021-01-10,22591004
2021-01-11,22794875
2021-01-12,23016601
2021-01-13,23245868
2021-01-14,23481471
2021-01-15,23726583
2021-01-16,23944221
2021-01-17,24120840
2021-01-18,24261584
2021-01-19,24418511
2021-01-20,24605923
2021-01-21,24798478
2021-01-22,24990283
2021-01-23,25168568
2021-01-24,25308756
2021-01-25,25438273
2021-01-26,25589270
2021-01-27,25744730
2021-01-28,25911505
2021-01-29,26075352
2021-01-30,26226330
2021-01-31,26339211
2021-02-01,26464454
2021-02-02,26581442
2021-02-03,26705794
2021-02-04,26830833
2021-02-05,26961913
2021-02-06,27078735
2021-02-07,27168178
2021-02-08,27250960
2021-02-09,27346179
2021-02-10,27441359
2021-02-11,27548157
2021-02-12,27648752
2021-02-13,27739553
2021-02-14,27807855
2021-02-15,27863210
2021-02-16,27922498
2021-02-17,27991320
2021-02-18,28063912
2021-02-19,28139107
2021-02-20,28212916
2021-02-21,28268191
2021-02-22,28323630
2021-02-23,28397482
2021-02-24,28472531
2021-02-25,28549814
2021-02-26,28625254
2021-02-27,28696577
2021-02-28,28748325
2021-03-01,28798730
2021-03-02,28857142
2021-03-03,28924184
2021-03-04,28993155
2021-03-05,29061062
2021-03-06,29122125
2021-03-07,29163741
2021-03-08,29207775
2021-03-09,29263267
2021-03-10,29321033
2021-03-11,29382813
2021-03-12,29445440
2021-03-13,29502321
2021-03-14,29541607
2021-03-15,29592519
2021-03-16,29646605
2021-03-17,29705897
2021-03-18,29768292
2021-03-19,29829947
2021-03-20,29888855
2021-03-21,29924232
2021-03-22,29971545
2021-03-23,30024425
2021-03-24,30112119
2021-03-25,30179762
2021-03-26,30256169
2021-03-27,30320326
2021-03-28,30366638
2021-03-29,30432325
2021-03-30,30494045
2021-03-31,30563583
2021-04-01,30640483
2021-04-02,30714550
2021-04-03,30779492
2021-04-04,30817399
2021-04-05,30884310
2021-04-06,30947207
2021-04-07,31022976
2021-04-08,31103119
2021-04-09,31187782
2021-04-10,31258481
2021-04-11,31305917
2021-04-12,31367939
2021-04-13,31448836
2021-04-14,31524451
2021-04-15,31598416
2021-04-16,31681932
2021-04-17,31737505
2021-04-18,31781340
2021-04-19,31839700
2021-04-20,31902207
2021-04-21,31966565
2021-04-22,32033304
2021-04-23,32096236
2021-04-24,32151278
2021-04-25,32185973
2021-04-26,32228184
2021-04-27,32280507
2021-04-28,32335712
2021-04-29,32394510
2021-04-30,32452623
2021-05-01,32501495
2021-05-02,32532062
2021-05-03,32576586
2021-05-04,32619462
2021-05-05,32665537
2021-05-06,32711737
2021-05-07,32760176
2021-05-08,32795890
2021-05-09,32818757
2021-05-10,32851054
2021-05-11,32886543
2021-05-12,32922692
2021-05-13,32961447
2021-05-14,33003669
2021-05-15,33034468
2021-05-16,33052173
2021-05-17,33077348
2021-05-18,33106256
2021-05-19,33135909
2021-05-20,33166134
2021-05-21,33194958
2021-05-22,33216212
2021-05-23,33229993
2021-05-24,33251817
2021-05-25,33276416
2021-05-26,33301040
2021-05-27,33327878
2021-05-28,33350122
2021-05-29,33363459
2021-05-30,33370825
2021-05-31,33377089
2021-06-01,33397883
2021-06-02,33414619
2021-06-03,33433014
2021-06-04,33450896
2021-06-05,33466507
2021-06-06,33472529
2021-06-07,33486592
2021-06-08,33499620
2021-06-09,33518177
2021-06-10,33532978
2021-06-11,33558127
2021-06-12,33567318
2021-06-13,33572587
2021-06-14,33584344
2021-06-15,33595089
2021-06-16,33606988
2021-06-17,33618751
2021-06-18,33639936
2021-06-19,33648994
2021-06-20,33653917
2021-06-21,33664443
2021-06-22,33675264
2021-06-23,33687925
2021-06-24,33702399
2021-06-25,33727003
2021-06-26,33736379
2021-06-27,33740999
2021-06-28,33754619
2021-06-29,33762085
2021-06-30,33777444
2021-07-01,33792561
2021-07-02,33822320
2021-07-03,33827737
2021-07-04,33832014
2021-07-05,33840919
2021-07-06,33863181
2021-07-07,33883353
2021-07-08,33904242
2021-07-09,33951822
2021-07-10,33961959
2021-07-11,33973712
2021-07-12,34003097
2021-07-13,34029647
2021-07-14,34060767
2021-07-15,34092748
2021-07-16,34170850
2021-07-17,34184963
2021-07-18,34205287
2021-07-19,34254095
2021-07-20,34293842
2021-07-21,34341574
2021-07-22,34398095
2021-07-23,34518892
2021-07-24,34547656
2021-07-25,34575613
2021-07-26,34654954
2021-07-27,34719932
2021-07-28,34793513
2021-07-29,34866060
2021-07-30,35057505
2021-07-31,35101447
2021-08-01,35146017
2021-08-02,35254248
2021-08-03,35352036
2021-08-04,35454441
2021-08-05,35564151
2021-08-06,35816041
2021-08-07,35879082
2021-08-08,35913941
2021-08-09,36073605
2021-08-10,36191398
2021-08-11,36345871
2021-08-12,36489904
2021-08-13,36716745
2021-08-14,36789853
2021-08-15,36836663
2021-08-16,37030815
2021-08-17,37181460
2021-08-18,37349055
2021-08-19,37504209
2021-08-20,37743360
2021-08-21,37835653
2021-08-22,37879854
2021-08-23,38087772
2021-08-24,38242261
2021-08-25,38421258
2021-08-26,38605072
2021-08-27,38843725
2021-08-28,38922780
2021-08-29,38974803
2021-08-30,39203628
2021-08-31,39383602
2021-09-01,39574089
2021-09-02,39753283
2021-09-03,39988672
2021-09-04,40074848
2021-09-05,40138446
2021-09-06,40232023
2021-09-07,40440792
2021-09-08,40617762
2021-09-09,40784144
2021-09-10,41026311
2021-09-11,41115711
2021-09-12,41164066
2021-09-13,41374628
2021-09-14,41519561
2021-09-15,41693175
2021-09-16,41851988
2021-09-17,42062889
2021-09-18,42138177
2021-09-19,42183014
2021-09-20,42354371
2021-09-21,42476122
2021-09-22,42607516
2021-09-23,42736666
2021-09-24,42911445
2021-09-25,42972288
2021-09-26,43026653
2021-09-27,43181915
2021-09-28,43294809
2021-09-29,43416254
2021-09-30,43526764
2021-10-01,43681514
2021-10-02,43730149
2021-10-03,43774909
2021-10-04,43917271
2021-10-05,44012542
2021-10-06,44124796
2021-10-07,44226313
2021-10-08,44357874
2021-10-09,44396957
2021-10-10,44436658
2021-10-11,44532222
2021-10-12,44642953
2021-10-13,44751444
2021-10-14,44838425
2021-10-15,44947953
2021-10-16,44988024
2021-10-17,45019673
2021-10-18,45118102
2021-10-19,45200155
2021-10-20,45291799
2021-10-21,45369812
2021-10-22,45465838
2021-10-23,45498454
2021-10-24,45517602
2021-10-25,45629739
2021-10-26,45696490
2021-10-27,45799018
2021-10-28,45874251
2021-10-29,45969338
2021-10-30,46003828
2021-10-31,46036283
2021-11-01,46149015
2021-11-02,46217789
2021-11-03,46303430
2021-11-04,46384899
2021-11-05,46481713
2021-11-06,46516974
2021-11-07,46553825
2021-11-08,46664001
2021-11-09,46742492
2021-11-10,46837600
2021-11-11,46895460
2021-11-12,47038857
2021-11-13,47083095
2021-11-14,47115017
2021-11-15,47248474
2021-11-16,47335874
2021-11-17,47448678
2021-11-18,47558716
2021-11-19,47685553
2021-11-20,47731186
2021-11-21,47770997
2021-11-22,47915174
2021-11-23,48006658
2021-11-24,48118048
2021-11-25,48157902
2021-11-26,48211118
2021-11-27,48237810
2021-11-28,48281009
2021-11-29,48466633
2021-11-30,48583889
2021-12-01,48721085
2021-12-02,48859989
2021-12-03,49018674
2021-12-04,49085300
2021-12-05,49140530
2021-12-06,49317808
2021-12-07,49431159
2021-12-08,49581151
2021-12-09,49705711
2021-12-10,49863878
2021-12-11,49920712
2021-12-12,49973046
2021-12-13,50158136
