Date,United Kingdom
2020-10-31,1014788
2020-11-01,1038056
2020-11-02,1057029
2020-11-03,1077077
2020-11-04,1102279
2020-11-05,1126445
2020-11-06,1149764
2020-11-07,1174762
2020-11-08,1195358
2020-11-09,1216733
2020-11-10,1237166
2020-11-11,1260167
2020-11-12,1293684
2020-11-13,1321014
2020-11-14,1347907
2020-11-15,1372897
2020-11-16,1394284
2020-11-17,1414355
2020-11-18,1433987
2020-11-19,1456919
2020-11-20,1477203
2020-11-21,1497125
2020-11-22,1515805
2020-11-23,1531278
2020-11-24,1542599
2020-11-25,1560846
2020-11-26,1578410
2020-11-27,1593194
2020-11-28,1609110
2020-11-29,1621304
2020-11-30,1633679
2020-12-01,1647165
2020-12-02,1663373
2020-12-03,1678298
2020-12-04,1694679
2020-12-05,1710295
2020-12-06,1727639
2020-12-07,1742405
2020-12-08,1754821
2020-12-09,1771444
2020-12-10,1792522
2020-12-11,1814281
2020-12-12,1835826
2020-12-13,1854353
2020-12-14,1874725
2020-12-15,1893323
2020-12-16,1918585
2020-12-17,1954080
2020-12-18,1982748
2020-12-19,2009960
2020-12-20,2046066
2020-12-21,2079512
2020-12-22,2116521
2020-12-23,2155880
2020-12-24,2195066
2020-12-25,2227935
2020-12-26,2262772
2020-12-27,2295208
2020-12-28,2336655
2020-12-29,2389942
2020-12-30,2440180
2020-12-31,2496187
2021-01-01,2549671
2021-01-02,2607548
2021-01-03,2662664
2021-01-04,2721583
2021-01-05,2782676
2021-01-06,2845230
2021-01-07,2898028
2021-01-08,2966224
2021-01-09,3026299
2021-01-10,3081319
2021-01-11,3127617
2021-01-12,3173273
2021-01-13,3220936
2021-01-14,3269737
2021-01-15,3325623
2021-01-16,3367060
2021-01-17,3405734
2021-01-18,3443344
2021-01-19,3476787
2021-01-20,3515776
2021-01-21,3553757
2021-01-22,3594084
2021-01-23,3627726
2021-01-24,3657825
2021-01-25,3680056
2021-01-26,3700254
2021-01-27,3725610
2021-01-28,3754419
2021-01-29,3783592
2021-01-30,3806947
2021-01-31,3828131
2021-02-01,3846807
2021-02-02,3863721
2021-02-03,3882972
2021-02-04,3903704
2021-02-05,3922893
2021-02-06,3941250
2021-02-07,3957167
2021-02-08,3971294
2021-02-09,3983736
2021-02-10,3996819
2021-02-11,4010365
2021-02-12,4025556
2021-02-13,4038916
2021-02-14,4049910
2021-02-15,4059691
2021-02-16,4070329
2021-02-17,4083089
2021-02-18,4095185
2021-02-19,4107281
2021-02-20,4117737
2021-02-21,4127575
2021-02-22,4138231
2021-02-23,4146758
2021-02-24,4156704
2021-02-25,4166724
2021-02-26,4175311
2021-02-27,4182769
2021-02-28,4188823
2021-03-01,4194287
2021-03-02,4200697
2021-03-03,4207117
2021-03-04,4213760
2021-03-05,4219786
2021-03-06,4225904
2021-03-07,4231165
2021-03-08,4235987
2021-03-09,4241855
2021-03-10,4247877
2021-03-11,4254712
2021-03-12,4261396
2021-03-13,4267013
2021-03-14,4271708
2021-03-15,4276838
2021-03-16,4282200
2021-03-17,4287993
2021-03-18,4294326
2021-03-19,4299198
2021-03-20,4304837
2021-03-21,4310193
2021-03-22,4315600
2021-03-23,4321016
2021-03-24,4326643
2021-03-25,4332920
2021-03-26,4339155
2021-03-27,4343064
2021-03-28,4347011
2021-03-29,4351795
2021-03-30,4355864
2021-03-31,4359979
2021-04-01,4364544
2021-04-02,4367967
2021-04-03,4371391
2021-04-04,4373796
2021-04-05,4376627
2021-04-06,4379031
2021-04-07,4381828
2021-04-08,4384952
2021-04-09,4380165
2021-04-10,4382878
2021-04-11,4384608
2021-04-12,4388294
2021-04-13,4390798
2021-04-14,4393328
2021-04-15,4396095
2021-04-16,4398902
2021-04-17,4401175
2021-04-18,4403059
2021-04-19,4406113
2021-04-20,4408644
2021-04-21,4411066
2021-04-22,4413832
2021-04-23,4416530
2021-04-24,4418652
2021-04-25,4420385
2021-04-26,4422504
2021-04-27,4425202
2021-04-28,4427389
2021-04-29,4429848
2021-04-30,4432245
2021-05-01,4434156
2021-05-02,4435830
2021-05-03,4437504
2021-05-04,4439487
2021-05-05,4441642
2021-05-06,4444260
